customer_id,name,city,age
1,Julia,Warsaw,23.0
2,Natalia,Poznan,49.0
3,Wiktoria,Warsaw,64.0
4,Maja,Wroclaw,59.0
5,Maja,Katowice,31.0
6,Aleksandra,Warsaw,39.0
7,Julia,Katowice,43.0
8,Tomasz,Warsaw,29.0
9,Anna,Warsaw,30.0
10,Julia,Lodz,29.0
11,Zuzanna,Lublin,65.0
12,Kinga,Warsaw,53.0
13,Natalia,Gdansk,58.0
14,Natalia,Bialystok,57.0
15,Tomasz,Bialystok,64.0
16,Filip,Lodz,23.0
17,Zuzanna,Poznan,60.0
18,Jan,Wroclaw,21.0
19,Aleksandra,Katowice,40.0
20,Jakub,Lodz,46.0
21,Zuzanna,Gdansk,
22,Oliwia,Krakow,25.0
23,Anna,Warsaw,27.0
24,Szymon,Bialystok,57.0
25,Filip,Poznan,33.0
26,Wiktoria,Poznan,32.0
27,Maja,Poznan,62.0
28,Filip,Lublin,24.0
29,Zuzanna,Krakow,61.0
30,Maja,Krakow,62.0
31,Jakub,Gdansk,46.0
32,Piotr,Poznan,
33,Julia,Katowice,25.0
34,Zuzanna,Poznan,31.0
35,Aleksandra,Poznan,45.0
36,Julia,Bialystok,
37,Aleksandra,Warsaw,39.0
38,Filip,Lodz,23.0
39,Piotr,Lodz,43.0
40,Wiktoria,Poznan,19.0
41,Jan,Szczecin,52.0
42,Natalia,Gdansk,20.0
43,Tomasz,Bialystok,27.0
44,Oliwia,Wroclaw,
45,Julia,Lodz,57.0
46,Kinga,Lodz,20.0
47,Jakub,Szczecin,38.0
48,Szymon,Poznan,46.0
49,Tomasz,Gdansk,42.0
50,Filip,Krakow,50.0
51,Natalia,Wroclaw,56.0
52,Anna,Szczecin,36.0
53,Oliwia,Krakow,57.0
54,Jakub,Szczecin,33.0
55,Jakub,Lodz,65.0
56,Adam,Warsaw,42.0
57,Zuzanna,Wroclaw,53.0
58,Jan,Lodz,60.0
59,Natalia,Wroclaw,56.0
60,Tomasz,Warsaw,58.0
61,Szymon,Katowice,43.0
62,Natalia,Katowice,20.0
63,Oliwia,Warsaw,41.0
64,Kinga,Gdansk,26.0
65,Maja,Gdansk,60.0
66,Kacper,Katowice,29.0
67,Szymon,Lublin,28.0
68,Oliwia,Lublin,29.0
69,Julia,Bialystok,48.0
70,Jakub,Lublin,45.0
71,Filip,Wroclaw,63.0
72,Anna,Warsaw,37.0
73,Jakub,Katowice,31.0
74,Jan,Bialystok,20.0
75,Tomasz,Bialystok,18.0
76,Jakub,Gdansk,35.0
77,Kacper,Gdansk,62.0
78,Piotr,Krakow,43.0
79,Marek,Warsaw,60.0
80,Tomasz,Lodz,22.0
81,Szymon,Lodz,22.0
82,Maja,Wroclaw,58.0
83,Jan,Wroclaw,23.0
84,Filip,Szczecin,20.0
85,Wiktoria,Poznan,37.0
86,Tomasz,Szczecin,62.0
87,Julia,Bialystok,51.0
88,Kacper,Wroclaw,22.0
89,Natalia,Gdansk,58.0
90,Filip,Bialystok,58.0
91,Maja,Katowice,56.0
92,Filip,Gdansk,61.0
93,Aleksandra,Katowice,29.0
94,Oliwia,Lodz,65.0
95,Szymon,Bialystok,
96,Kacper,Gdansk,56.0
97,Piotr,Bialystok,45.0
98,Tomasz,Bialystok,55.0
99,Wiktoria,Warsaw,48.0
100,Jan,Warsaw,48.0
101,Filip,Lodz,47.0
102,Anna,Krakow,55.0
103,Filip,Gdansk,53.0
104,Adam,Poznan,24.0
105,Filip,Bialystok,57.0
106,Filip,Bialystok,43.0
107,Filip,Warsaw,
108,Wiktoria,Szczecin,42.0
109,Jakub,Krakow,64.0
110,Tomasz,Lublin,59.0
111,Piotr,Szczecin,58.0
112,Filip,Szczecin,40.0
113,Marek,Gdansk,55.0
114,Jakub,Szczecin,36.0
115,Zuzanna,Warsaw,50.0
116,Marek,Lodz,48.0
117,Adam,Poznan,29.0
118,Jan,Wroclaw,30.0
119,Piotr,Krakow,20.0
120,Jan,Lublin,24.0
121,Maja,Wroclaw,38.0
122,Tomasz,Katowice,40.0
123,Wiktoria,Poznan,25.0
124,Jakub,Wroclaw,38.0
125,Aleksandra,Szczecin,47.0
126,Marek,Krakow,29.0
127,Julia,Lublin,34.0
128,Natalia,Lublin,35.0
129,Marek,Wroclaw,42.0
130,Wiktoria,Gdansk,35.0
131,Marek,Krakow,53.0
132,Zuzanna,Bialystok,33.0
133,Julia,Bialystok,38.0
134,Marek,Gdansk,36.0
135,Filip,Krakow,
136,Kacper,Warsaw,50.0
137,Marek,Krakow,29.0
138,Adam,Szczecin,32.0
139,Oliwia,Szczecin,
140,Maja,Warsaw,63.0
141,Kinga,Lublin,50.0
142,Anna,Warsaw,61.0
143,Piotr,Wroclaw,59.0
144,Maja,Lodz,41.0
145,Kinga,Lublin,54.0
146,Aleksandra,Szczecin,33.0
147,Adam,Krakow,40.0
148,Piotr,Warsaw,43.0
149,Filip,Gdansk,64.0
150,Julia,Wroclaw,58.0
151,Aleksandra,Bialystok,41.0
152,Kacper,Lublin,49.0
153,Szymon,Wroclaw,27.0
154,Kacper,Bialystok,56.0
155,Maja,Poznan,44.0
156,Wiktoria,Lodz,43.0
157,Jan,Poznan,54.0
158,Marek,Warsaw,48.0
159,Zuzanna,Bialystok,21.0
160,Filip,Krakow,31.0
161,Kinga,Warsaw,26.0
162,Wiktoria,Gdansk,53.0
163,Maja,Gdansk,19.0
164,Maja,Warsaw,27.0
165,Maja,Krakow,46.0
166,Filip,Katowice,51.0
167,Kacper,Bialystok,42.0
168,Anna,Warsaw,59.0
169,Oliwia,Gdansk,62.0
170,Adam,Lodz,24.0
171,Julia,Bialystok,63.0
172,Julia,Katowice,47.0
173,Natalia,Lublin,48.0
174,Natalia,Lodz,22.0
175,Tomasz,Poznan,47.0
176,Jakub,Warsaw,52.0
177,Tomasz,Szczecin,45.0
178,Jan,Szczecin,22.0
179,Szymon,Krakow,43.0
180,Zuzanna,Lublin,62.0
181,Szymon,Krakow,
182,Jan,Lublin,24.0
183,Jakub,Szczecin,64.0
184,Tomasz,Warsaw,64.0
185,Jakub,Poznan,26.0
186,Jakub,Warsaw,56.0
187,Jan,Lodz,37.0
188,Oliwia,Bialystok,46.0
189,Piotr,Krakow,39.0
190,Kacper,Wroclaw,55.0
191,Tomasz,Bialystok,65.0
192,Wiktoria,Wroclaw,56.0
193,Marek,Warsaw,62.0
194,Oliwia,Poznan,63.0
195,Kinga,Lodz,22.0
